iter	MultiClass
0	1.08101276
1	1.06516722
2	1.053361875
3	1.041553486
4	1.031957952
5	1.02360866
6	1.016134084
7	1.008369977
8	1.000754439
9	0.9931122421
10	0.9847846753
11	0.9819911791
12	0.9759410162
13	0.9703288773
14	0.9656372517
15	0.9604861228
16	0.9566394993
17	0.952889181
18	0.9471012511
19	0.9431167387
20	0.9397762135
21	0.935703257
22	0.9312853359
23	0.9277158166
24	0.925189816
25	0.9225079389
26	0.9202593828
27	0.9170031943
28	0.9138326756
29	0.910728275
30	0.9086854678
31	0.9065127289
32	0.9046270497
33	0.9033351696
34	0.8992031293
35	0.8976315759
36	0.8959639452
37	0.8942071441
38	0.8906851058
39	0.8889067809
40	0.8871714296
41	0.8863623023
42	0.8838939146
43	0.8811695546
44	0.8794442898
45	0.8770422191
46	0.8742859636
47	0.8697915705
48	0.8684657103
49	0.8664457656
50	0.8650158092
51	0.86103299
52	0.8579270781
53	0.8566116712
54	0.8541314435
55	0.8520598829
56	0.8489884281
57	0.8473922611
58	0.8448447072
59	0.8426302049
60	0.8412591047
61	0.8392995644
62	0.8365267795
63	0.8345970766
64	0.8324015058
65	0.8297310807
66	0.8275167835
67	0.8246705808
68	0.8228218759
69	0.8200954531
70	0.8182529399
71	0.8164204814
72	0.8140485138
73	0.8129390782
74	0.8107885855
75	0.808637671
76	0.8065658283
77	0.8048379586
78	0.8037581211
79	0.8017424806
80	0.7989422275
81	0.7979390164
82	0.7957694677
83	0.7931814207
84	0.7898248909
85	0.7883777715
86	0.7863171055
87	0.7848810545
88	0.7812488977
89	0.7791464524
90	0.7775361907
91	0.7755694811
92	0.7728626891
93	0.7708202855
94	0.7675353601
95	0.7651826512
96	0.7635402726
97	0.7624227253
98	0.7610140654
99	0.7594370614
