iter	Passed	Remaining
0	131	13053
1	133	6556
2	135	4375
3	136	3278
4	137	2618
5	139	2180
6	140	1867
7	141	1630
8	143	1446
9	144	1298
10	145	1177
11	147	1079
12	148	993
13	149	919
14	150	855
15	152	798
16	153	748
17	154	703
18	155	664
19	157	628
20	158	596
21	159	566
22	161	539
23	162	514
24	163	491
25	165	470
26	166	451
27	168	433
28	169	415
29	171	400
30	173	385
31	174	371
32	176	358
33	178	345
34	179	333
35	181	322
36	182	311
37	184	300
38	186	291
39	187	281
40	189	272
41	191	263
42	192	255
43	194	247
44	196	239
45	197	232
46	199	225
47	201	218
48	203	211
49	204	204
50	206	198
51	208	192
52	209	186
53	211	180
54	213	174
55	214	168
56	216	163
57	217	157
58	219	152
59	221	147
60	223	142
61	225	137
62	226	133
63	228	128
64	229	123
65	231	119
66	232	114
67	234	110
68	236	106
69	237	101
70	239	97
71	241	93
72	242	89
73	244	85
74	245	81
75	247	78
76	249	74
77	250	70
78	252	67
79	254	63
80	255	59
81	257	56
82	259	53
83	260	49
84	262	46
85	263	42
86	265	39
87	267	36
88	269	33
89	271	30
90	272	26
91	274	23
92	276	20
93	277	17
94	279	14
95	281	11
96	282	8
97	284	5
98	286	2
99	288	0
